"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Run + Continuos MP","Run","מטרה: אימון נפח + ספציפיות מרתון בעייפות מתונה. תרגול עמידה בקצב מטרה למרתון. פיתוח העמידות הפיזיולוגית (Durability) תרגול נוזלים ותזונה לקראת המרתון תזונה: כ-60 גרם פחמימה בשעה לפחות (!) 500 מ״ל מים בשעה אלקטרוליטים - כ500-800 מ״ג על כל ליטר (לשים לב שלפעמים בג׳לים יש כבר אלקטרוליטים, לתסף את החסר) ניתן להתנסות בג׳ל קפאין בשעה האחרונה.","2.16666666666667","","2026-01-03","","21296.189453125","","","","","2.16907048225403","2.72699999809265","","165","","149","168","","","0.797595787253811","155.83","84","35","10","0","0","0","0","","","","","","","","","","","","","","6","5"
"Sub Threshold Blocks - Recovery Week","Run","מטרה: הארכת זמן עבודה קרוב לסף בלי עלייה בלקטט דגשים: קצב אחיד לאורך שלושת המקטעים. קצב לא גורע מהטכניקה. נשימה נשלטת. אם החזרה השלישית מרגישה קשה מדי - האטה קלה, לא למשוך לקצה. מדדים: קצב או וואטים. דופק יכול להיות כלי מעקב אבל לא להכתיב את העצימות","1.175","","2026-01-05","","11537.0498046875","","",""," *05/01/2026 Asaf Berman: סוף ריצה הרגשתי קצת חלש בריצה הזו . עייף אחרי יום עבודה די אינטנס, לילה די קשה ובכללי ריצות ערב עייפות לי יותר אנרגטית. האינטרוולים היו בסדר . מבחינת לב ריאה הרגשתי בסדר גמור . השרירי רגליים הרגישו קצת קרים כאילו לא מתחממים ונכנסים לעניינים. אעבוד עם הגליל היום. שמח שאנחנו בשבוע הורדת עומסים. מרגיש שאני צריך את זה. הבקבוק שהגיע שהמלצת מדהים ממש נוח. והג׳ל שקנינו ממך ממש טעים וזורם זה כיף. מבחינת כאבים כרגע אין כאבים ששווים ציון. יש כל מיני כאבים ברמה נמוכה שלא משפיעים כרגע על הריצה וההתאוששות מהם מהירה . אתונה*","1.17617130279541","2.72499990463257","","164","","146","167","","","0.880956104844091","101.55","51","8","12","0","0","0","0","","","","","","","","","","","","","","5","5"
"Build 1 Week 4 (Recovery)","Custom","","","","2026-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","0.75","","2026-01-07","","6877.169921875","","",""," *07/01/2026 Daniel Berzan: מעולה*","0.750499188899994","2.54500007629395","","159","","143","156","","","0.821040577248008","55.65","43","2","0","0","0","0","0","","","","","","","","","","","","","","3","3"
"Z2 Long Run (90-100min)","Run","מטרה: אימון נפח, שבוע התאוששות.","1.66666666666667","","2026-01-08","","16071.51953125","","",""," *09/01/2026 Daniel Berzan: 👍🏼👍🏼* *09/01/2026 Daniel Berzan: ניהול טוב. לקחת את הימים הקרובים למנוחה ולאגור כוחות לבלוק הקרוב*","1.66044580936432","2.68899989128113","","163","","151","164","","","0.795810998471288","117.97","38","60","1","0","0","0","0","","","","","","","","","","","","","","4","5"
"Sub Threshold Extended Blocks (M)","Run","מטרה: המשך עבודה קרוב לסף בלי עליה בלקטט דגשים: קצב אחיד לאורך שלושת המקטעים. קצב לא גורע מהטכניקה. נשימה נשלטת. אם החזרה השלישית מרגישה קשה מדי - האטה קלה, לא למשוך לקצה. אפשר לקצר זמני התאוששות מ150 שניות ל-120 שניות בחזרה השלישית. מדדים: קצב או וואטים. דופק יכול להיות כלי מעקב אבל לא להכתיב את העצימות","1.5","","2026-01-11","","15530.349609375","","",""," *11/01/2026 Asaf Berman: ריצה מצוינת. היה ממש כיף. הרגשתי סופר חזק. אינטרוולים היו בסדר גמור, הכי קשה היה הראשון רק להתרגל לקצב. כל הריצה הייתה בגבולות המהירים של הריצה, הרגשתי בנוח כל הריצה לא כאב לי כלום. מסיים את הריצה וממשיך בבית בלי התאוששות ארוכה כמו שהיה פעם. פעם ראשונה שסימנתי VERY STRONG בTP. אחלה קאדנס.* *12/01/2026 Daniel Berzan: סימן מעולה!! שבוע ההתאוששות עשה את שלו. האינטרוולים נראים מצוין. רואים את זמן ההתכנסות בפעם הראשונה. אנחנו בדרך הנכונה.* *12/01/2026 Asaf Berman: למה הכוונה בזמן התכנסות?*","1.52190363407135","2.83500003814697","","168","","150","170","","","0.870305307192573","129.1","49","20","22","0","0","0","0","","","","","","","","","","","","","","6","1"
"Build 2 Week 1","Custom","","","","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run - Easy + Z2 Run","Run","זמן עבודה מתחת לסף הראשון - לשים לב לחלוקת העצימות בין ריצה קלה לריצה בזון 2. לא להפוך את כל הריצה רק כזון 2 או רק כריצה קלה.","1.58333333333333","","2026-01-13","","13485.1298828125","","","","","1.41731739044189","2.64299988746643","","164","","147","160","","","0.779569872275585","96.25","58","27","0","0","0","0","0","","","","","","","","","","","","","","4","5"
"Long Run + Continuos MP","Run","מטרה: אימון נפח + ספציפיות מרתון בעייפות מתונה. תרגול עמידה בקצב מטרה למרתון. פיתוח העמידות הפיזיולוגית (Durability) תרגול נוזלים ותזונה לקראת המרתון תזונה: כ-60 גרם פחמימה בשעה לפחות (!) 500 מ״ל מים בשעה אלקטרוליטים - כ500-800 מ״ג על כל ליטר (לשים לב שלפעמים בג׳לים יש כבר אלקטרוליטים, לתסף את החסר) ניתן להתנסות בג׳ל קפאין בשעה האחרונה.","2.16666666666667","","2026-01-16","","22001.55078125","","",""," *16/01/2026 Asaf Berman: ריצה לא קלה. שורה תחתונה הכל עבר בסדר סימתי אותה יותר תתוש ממה שהתרגלתי בריצות האחרונות. 22 ק""מ, קצב ממוצע 5:57 לאפ 1 חימום לאפ 2 שעה וחמישה ביקשת שאצמד לגבול המהיר, עשיתי ב5:55 ממוצע שזה 5 שניות יותר מהמהיר לאפ 3 35 דק בקצה מרתון גבול מהיר היה 5:39 ובפועל עשיתי 5:28. הרגשתי שהקצב שעשיתי את הלאפ המהיר, במיוחד אחרי שעה בקצב של 5:55, היה לי לא פשוט ושאני לא יכול להחזיק חצי מרתון / מרתון בקצב הזה. אולי חצי ולהישבר. הרי כבר עשיתי חצי בקצב של 5:36. מבחינת הדופק הלאפ השני היה כל הזמן סביב 150-153 ובמהיר הייתי סביב 165. לא הגעתי לדפקים ממש גבוהים שזה מעודד. אכלתי ג'""ל אחד גדול של 90, שתיתי קצת יותר מליטר כל הריצה עם מספיק מלחים בפנים. יכול להיות שה10 שניות האלו שהורדתי במהירות ב35 דק הן מאוד משמעותיות בשילי וזה מה שהפך את הריצה הזו ליחסית קשה. אתמול נשברתי בערב אחרי לילה לבן ונרדמתי בערב ולא עשיתי את האימון כוח. אני אנסה לעשות אותו מחר להשלמה. היום אנוח.* *18/01/2026 Daniel Berzan: אני ממש לא מוטרד מהיכולת שלך לקראת המרתון. אנחנו לא מודדים את היכולת על פי ביצוע אחד, כמו שלא נמדוד לפי ריצה אחת מצוינת. כל תכנית האימונים צריכה להביא אותך ליום אחד ספציפי שבו תהיה בשיא היכולות שלך. כל הרגעים שבדרך - אתה בהגדרה לא נמצא בשיא שלך. ניהול ריצה טוב מבחינת קצבים. רצינו לגרד את הקצה ועשינו את זה.*","2.18119549751282","2.80200004577637","","168","","152","168","","","0.827233432980746","168.62","46","51","34","0","0","0","0","","","","","","","","","","","","","","6","5"
"VO2max - 5x1km","Run","סדרת האימונים הזו מתמקדת בעבודה סביב רמת ה-VO2max, ומטרתה לאתגר את גבול היכולת האירובית העליונה. הגירוי יכול להיות מורגש באחד או יותר מהמערכות הבאות: - מערכת הנשימה: לשמור על קצב שבו הנשימה מאומצת אך עדיין נשלטת. - המערכת השרירית: בשניות האחרונות תורגש תחושת לקטט גבוהה. להישאר שם בצורה מבוקרת. - המערכת הקרדיווסקולרית: ככל שהאינטרוולים מתארכים, הדופק יעלה, אך יישאר מתחת לדופק המקסימלי.","1.21944444444444","13000","2026-01-18","חימום: קריטי לביצוע איכותי של האימון המרכזי ולהפחתת סיכון לפציעה - ריצת ג'וגינג ארוכה והדרגתית - תרגילי אקטיבציה ותנועה במהלך האינטרוולים - להשתמש בטווח הקצבים המלא: להתחיל מהצד השמרני ולבחון היכן אתה נמצא היום. - איכות הטכניקה חשובה יותר מהקצב. חשוב לשמור על שליטה וריצה מאוזנת. מהו ה-Sweet Spot הנכון? - נשימה כבדה אבל נשלטת - טכניקת ריצה מצוינת - תחושת לקטט מאתגרת אך נסבלת לאורך האינטרוול - מקטעי התאוששות - קצב קל מאוד, כ-2:30-3:00 דק׳.","11982.0400390625","","",""," *18/01/2026 Daniel Berzan: נראה יפה מאוד. מחכה לשמוע תחושות* *18/01/2026 Asaf Berman: אימון סופר קשה. דירגתי 9 ברמת הקושי. תנאים: יומיים לאחר ריצת 22 מאתגרת יום לאחר אימון רגליים בבית (שהוא לא היה מאוד מאתגר, אבל אני ככ לא הקפדתי כמו שצריך על האימונים שהרגשתי קצת תפוס היום מהאימון, בקטנה). עשיתי חימום של איזה 7 דק לפני תחילת הריצה. האינטרוולים של הקמ היו מאוד קשים. הייתי צריך ממש להתרכז להסדיר נשימה ב200 מטר האחרונים בכולם. מה שכן, הם כולם הרגישו פחות או יותר באותה רמת קושי. כלומר ה2-3 דק ביניהם די אוששו אותי ואפשרו לי להשלים את הסט הבא. במבחן התוצאה - עשיתי את כל האיטרוולים בטווח התקין (אפילו באמצע שלו) אינטרוול 4 הייתה איזה בעית מדידה קטנה הפעלתי אותו כשעצרתי להשתין אז לא להסתכל על הקצב הממוצע כי היה שם 20 שניות של עמידה או משהו כזה בסוף הרביעי הרגשתי כבר סופר קשה ולקחתיל עצמי 4 דק הפסקה מתוכן 2 בהליכה. מה שכן שמתי לב שאחרי שהדופק יורד לאיזור 145-150 אני יכול לעשות עוד סט כזה. אכלתי גל אחד של 30, ושתיתי בקבוק אחד של 350. אולי היה עדיף עוד. אבל בפועל היה מדובר באימון די קצר. מלחים לא לקחתיץ (בננה ומים לפני, מים מיד אחרי) אני חושב שמאוד קשה לי להחזיק את עצמי הרבה זמן באיזורי ה4:30. אין לי מושג איך עשיתי את הטסט ב4:48 לא יכול להגיד שנהניתי מהריצה הזו. היא הייתה לי באמת מאוד מאוד קשה וסוחטת. אין ההורדות קצב בין לבין לדעתי עשיתי בקצבים יחסית מאוד נמוכים באיזור ה7. ניכר שאיזור הVO2 MAX שלי נדרש בשיפור משמעותי* *20/01/2026 Daniel Berzan: אימון ראשון כזה זה בהחלט מאתגר. יכול להיות שנפלנו על יום קשה יותר ברמה הפיזיולוגית, אל מול התחושות לשאתה מתאר ובהשוואה לטסט. אל תשכח שאת הטסט עשית אחרי שבוע התאוששות. גם את המרתון תעשה אחרי התאוששות. הפסקה בין סט 4-5 - מצוין. החלטה טובה. בהחלט יכול להיות שביצוע של אימון כזה בערב משפיע על התחושות. הגוף יותר כבד עם האוכל והיום שעבר. תזונה - אתה לא צריך בהכרח לקחת מלחים באימון כזה. זו לא טעות לקחת, אבל ממש לא נדרש.*","1.18323385715485","2.81299996376038","","160","","151","175","","","0.833904589636759","91.56","43","7","11","11","0","0","0","","","","","","","","","","","","","","9","5"
